"word","position_score","psi","zeta","abs_zeta","political_leaning","frequency","position_rank","discrimination_rank"
"mitarbeit",-0.0646500978324152,0.090051381259289,-0.0676275408503191,0.0676275408503191,"left",7,9571,17579.5
"angesichts",-0.0644444451154207,3.700937585774,-0.410047222339124,0.410047222339124,"left",259,9572,12999
"behörde",-0.0644041743138088,1.88177293019912,-0.1650197089001,0.1650197089001,"left",42,9573,16182
"meiste",-0.064326146967424,0.628997922354621,-0.0880993495656417,0.0880993495656417,"left",12,9574,17316
"zwischenbemerkung",-0.0641850866370297,0.341294075140657,-0.076128136405327,0.076128136405327,"left",9,9575,17466.5
"antreten",-0.0641850866370297,0.341294075140657,-0.076128136405327,0.076128136405327,"left",9,9576,17466.5
"entscheidet",-0.0640141804233636,2.69791999085323,-0.246673259125773,0.246673259125773,"left",95,9577,15086
"geben",-0.0640103084640022,4.83239721491695,-0.717119682305353,0.717119682305353,"left",803,9578,9153
"belegen",-0.0639940940566427,1.60977589827107,-0.143119328578668,0.143119328578668,"left",32,9579,16491
"ermittlung",-0.0639098320140734,0.628933622195069,-0.0875263618505057,0.0875263618505057,"left",12,9580,17323
"leistet",-0.0637935537056745,2.46149710735312,-0.218415824954035,0.218415824954035,"left",75,9581,15451
"veranlassen",-0.0637641289206189,0.341229020247158,-0.0756263902560528,0.0756263902560528,"left",9,9582,17470
"integrationskurse",-0.0636835264515962,0.708941331440826,-0.0907761497740992,0.0907761497740992,"left",13,9583,17271
"unsere",-0.0636551509394057,5.84654369668692,-1.18411636997342,1.18411636997342,"left",2214,9584,4313
"economy",-0.0635010861378785,0.341188313445171,-0.0753128798262586,0.0753128798262586,"left",9,9585,17475
"vermeidung",-0.063420334365629,1.9506137205995,-0.168189513746487,0.168189513746487,"left",45,9586,16147
"vorweg",-0.0632210594538179,1.36279617843691,-0.12496523193239,0.12496523193239,"left",25,9587,16774
"geburtstag",-0.0631227592367011,1.85747717972566,-0.159783532860185,0.159783532860185,"left",41,9588,16274
"ausreise",-0.063086016324655,-0.0643411159490336,-0.0610888019766655,0.0610888019766655,"left",6,9589,17661
"hauptgrund",-0.063086016324655,-0.0643411159490336,-0.0610888019766655,0.0610888019766655,"left",6,9590,17661
"kostengünstiger",-0.063086016324655,-0.0643411159490336,-0.0610888019766655,0.0610888019766655,"left",6,9591,17661
"investitionskosten",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9592,17669
"ressourcenschonende",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9593,17669
"mitwirkungsrechte",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9594,17669
"schadstoffausstoß",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9595,17669
"gequält",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9596,17669
"spielzeug",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9597,17669
"offshore",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9598,17669
"beschäftigungsmöglichkeiten",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9599,17669
"final",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9600,17669
"opfergruppen",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9601,17669
"verabredet",-0.0628905448756881,-0.0643714443832212,-0.0608985953917044,0.0608985953917044,"left",6,9602,17669
"schülern",-0.062832998951674,1.36273597816264,-0.124194437959659,0.124194437959659,"left",25,9603,16789
"haushaltsfinanzierungsgesetz",-0.0627815342970053,0.851902363574671,-0.0961214188664764,0.0961214188664764,"left",15,9604,17166
"zukunftsfähigkeit",-0.0626411064285676,1.36270617496641,-0.123813302040447,0.123813302040447,"left",25,9605,16801
